album,artist,genre,metascore,releasedate,userscore
Bon Iver,Bon Iver,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock,Alternative Singer/Songwriter,Indie Folk",86,"Jun 21, 2011",8.6
Mirrored,Battles,"Indie,Rock",86,"May 22, 2007",8.0
A Sailor's Guide to Earth,Sturgill Simpson,Country,86,"Apr 15, 2016",8.1
Welcome To Mali,Amadou & Mariam,World,86,"Mar 24, 2009",8.1
Far from Over,Vijay Iyer,Jazz,86,"Aug 25, 2017",tbd
Comicopera,Robert Wyatt,"Rock,Experimental",86,"Oct  9, 2007",8.6
This Is Still It,The Method Actors,Rock,86,"Mar  6, 2010",8.3
One Word Extinguisher,Prefuse 73,"Electronic,Hip Hop",86,"May  6, 2003",8.6
Time (The Revelator),Gillian Welch,Folk,86,"Jul 31, 2001",8.9
Hollowed,Ital Tek,"Electronic,Techno,Pop/Rock,Experimental Techno,IDM",86,"Mar 18, 2016",8.0
Who Kill,tUnE-yArDs,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock",86,"Apr 19, 2011",8.1
Body Talk,Robyn,"Pop,Electronic,Pop/Rock,Alternative/Indie Rock,Dance-Pop,Euro-Pop,Club/Dance,Alternative Dance",86,"Nov 22, 2010",8.8
Bécs,Fennesz,"Electronic,Experimental,Electronica,Techno,Pop/Rock,Alternative/Indie Rock,Experimental Techno,Experimental Ambient,Ambient Techno,IDM,Experimental Electro,Microsound",86,"Apr 29, 2014",8.4
Nightmare Logic,Power Trip,"Pop/Rock,Heavy Metal",86,"Feb 24, 2017",7.7
CTRL,SZA,R&B,86,"Jun  9, 2017",8.6
Let England Shake,PJ Harvey,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",86,"Feb 15, 2011",8.7
DFA Remixes: Chapter 1,The DFA,"Indie,Rock,Electronic",87,"Apr  4, 2006",8.4
Sound Of Silver,LCD Soundsystem,"Indie,Rock,Electronic",86,"Mar 20, 2007",8.6
Mass Romantic,The New Pornographers,"Indie,Rock,Pop",87,"Nov 21, 2000",8.7
Nashville Obsolete,Dave Rawlings Machine,Pop/Rock,87,"Sep 18, 2015",7.1
Colfax,The Delines,"R&B,Country,Alt-Country,Pop/Rock",87,"Jun 17, 2014",7.5
Phantom Power,Super Furry Animals,"Rock,Alternative",87,"Jul 22, 2003",8.9
"22, A Million",Bon Iver,"Pop/Rock,Alternative/Indie Rock,Indie Rock,Indie Electronic,Alternative Singer/Songwriter,Indie Folk",87,"Sep 30, 2016",8.3
V,The Horrors,Pop/Rock,87,"Sep 22, 2017",8.2
Bouger le Monde!,Staff Benda Bilili,,87,"Sep  4, 2012",tbd
Seven Swans,Sufjan Stevens,"Indie,Rock,Singer-Songwriter",87,"Mar 16, 2004",8.9
Kala,M.I.A.,Rap,87,"Aug 21, 2007",8.5
Children Running Through,Patty Griffin,"Rock,Adult Alternative,Folk,Singer-Songwriter",87,"Feb  6, 2007",8.6
House of Balloons,The Weeknd,"R&B,Alternative R&B",87,"Mar 21, 2011",8.8
The Creek Drank The Cradle,Iron & Wine,"Indie,Rock",87,"Sep 24, 2002",8.9
Gone Away Backward,Robbie Fulks,Country,87,"Aug 27, 2013",4.4
Favourite Colours,The Sadies,"Indie,Rock,Alt-Country",87,"Aug 24, 2004",8.3
In Colour,Jamie xx,"Electronic,Garage,Pop/Rock,Alternative/Indie Rock,Club/Dance,Indie Electronic,Indie Pop,Dubstep",87,"Jun  2, 2015",8.6
Beautiful Africa,Rokia Traoré,International,87,"Apr  8, 2013",8.3
Cocoa Sugar,Young Fathers,Rap,87,"Mar  9, 2018",8.8
Tracyanne & Danny,Tracyanne & Danny,"Pop/Rock,Alternative/Indie Rock",87,"May 25, 2018",7.5
The Suburbs,Arcade Fire,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock",87,"Aug  3, 2010",8.9
Innocence is Kinky,Jenny Hval,Pop/Rock,87,"May 14, 2013",8.5
Is Survived By,Touche Amore,"Pop/Rock,Punk/New Wave,Hardcore Punk",87,"Sep 24, 2013",8.2
Annie Up,Pistol Annies,"Country,Pop/Rock,Contemporary Country,Country-Pop",87,"May  7, 2013",4.3
In a Poem Unlimited,U.S. Girls,"Pop/Rock,Alternative/Indie Rock",87,"Feb 16, 2018",8.3
Congotronics,Konono No. 1,World,87,"Sep 27, 2005",7.2
Stumble Into Grace,Emmylou Harris,"Country,Singer-Songwriter",87,"Sep 23, 2003",8.7
Phrenology,The Roots,Rap,87,"Nov 26, 2002",8.6
Celestial Lineage,Wolves in the Throne Room,"Pop/Rock,Heavy Metal",87,"Sep 13, 2011",8.3
Yankee Hotel Foxtrot,Wilco,"Rock,Alternative,Alt-Country",87,"Apr 23, 2002",8.9
Soil,Serpentwithfeet,"Pop,Electronic,R&B,Pop/Rock,Alternative/Indie Rock,Indie Electronic,Alternative R&B,Left-Field Pop",87,"Jun  8, 2018",8.0
Remembering Mountains: Unheard Songs By Karen Dalton,Various Artists,"Folk,Pop/Rock",87,"May 26, 2015",7.2
xx,The xx,"Indie,Rock,Pop",87,"Oct  6, 2009",8.8
Neon Bible,Arcade Fire,"Indie,Rock",87,"Mar  6, 2007",8.7
Ágætis Byrjun,Sigur Rós,"Indie,Rock",87,"May 15, 2001",8.9
World Music,Goat,,87,"Aug 20, 2012",7.8
Virgins,Tim Hecker,"Electronic,Club/Dance",87,"Oct 15, 2013",8.3
Random Access Memories,Daft Punk,"Electronic,Club/Dance",87,"May 21, 2013",8.3
Vulnicura,Björk,,87,"Jan 20, 2015",8.7
"I Love You, Honeybear",Father John Misty,"Pop/Rock,Alternative/Indie Rock",87,"Feb 10, 2015",8.6
And Their Refinement Of The Decline,Stars Of The Lid,"Rock,Electronic",87,"Apr  7, 2007",7.2
Let's Stay Friends,Les Savy Fav,"Indie,Rock",87,"Sep 18, 2007",8.2
Raising Sand,Robert Plant And Alison Krauss,Folk,87,"Oct 23, 2007",8.8
"Now, More Than Ever",Jim Guthrie,"Indie,Rock",87,"Jun  1, 2004",8.7
Puberty 2,Mitski,"Pop/Rock,Alternative/Indie Rock",87,"Jun 17, 2016",8.6
You Will Never Be One of Us,NAILS,"Pop/Rock,Heavy Metal",87,"Jun 17, 2016",6.6
Summertime '06,Vince Staples,Rap,87,"Jun 30, 2015",8.5
Arca,Arca,"Electronic,Experimental Electronic",87,"Apr  7, 2017",8.0
World Without Tears,Lucinda Williams,"Rock,Folk,Alt-Country",87,"Apr  8, 2003",8.9
Cold House,Hood,"Indie,Rock,Electronic",87,"Nov 13, 2001",8.3
Things We Lost In The Fire,Low,"Indie,Rock,Alternative",87,"Feb  6, 2001",8.8
The Seer,Swans,"Post-Rock,Experimental Rock,Noise-Rock",87,"Aug 28, 2012",8.4
Guppy,Charly Bliss,"Pop/Rock,Alternative/Indie Rock,Indie Rock",87,"Apr 21, 2017",7.7
The Town And The City,Los Lobos,Rock,87,"Sep 12, 2006",8.6
Historicity,Vijay Iyer Trio,Jazz,87,"Oct 13, 2009",8.0
Too Bright,Perfume Genius,Pop/Rock,87,"Sep 23, 2014",8.3
Painted Shut,Hop Along,Pop/Rock,87,"May  4, 2015",8.4
Isolation,Kali Uchis,Pop/Rock,87,"Apr  6, 2018",8.5
The River & the Thread,Rosanne Cash,"Country,Folk,Pop/Rock,Contemporary Singer/Songwriter,Contemporary Country",87,"Jan 14, 2014",7.6
The Dirty South,Drive-By Truckers,"Indie,Rock",87,"Aug 24, 2004",8.9
Choose Your Weapon,Hiatus Kaiyote,"R&B,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Alternative R&B",87,"May  4, 2015",8.4
Southeastern,Jason Isbell,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Alternative Country-Rock,Roots Rock,Southern Rock",87,"Jun 11, 2013",8.4
Cusp,Alela Diane,Pop/Rock,87,"Feb  9, 2018",7.8
The Thin Black Duke,Oxbow,"Pop/Rock,Heavy Metal",87,"May  5, 2017",7.9
Blonde,Frank Ocean,,87,"Aug 20, 2016",8.7
Showtime,Dizzee Rascal,Rap,87,"Sep 14, 2004",8.3
The Argument,Fugazi,"Indie,Rock",87,"Oct 16, 2001",8.8
Silent Movies,Marc Ribot,"Classical,Jazz,Avant-Garde,Film Music,Modern Creative,Film Score,Modern Composition",87,"Sep 28, 2010",tbd
The Wonder Years,9th Wonder,,87,"Sep 27, 2011",7.0
Decoration Day,Drive-By Truckers,"Indie,Rock,Alt-Country",87,"Jun 17, 2003",8.7
John Howard & the Night Mail,John Howard & The Night Mail,"Pop/Rock,Alternative/Indie Rock",87,"Aug 21, 2015",8.3
Be the Cowboy,Mitski,"Pop/Rock,Alternative/Indie Rock",87,"Aug 17, 2018",8.5
Ten Love Songs,Susanne Sundfør,Pop/Rock,87,"Feb 16, 2015",8.8
Laila’s Wisdom,Rapsody,Rap,87,"Sep 22, 2017",8.1
Microshift,Hookworms,"Pop/Rock,Alternative/Indie Rock",87,"Feb  2, 2018",7.8
Upland Stories,Robbie Fulks,"Country,Folk,Pop/Rock",87,"Apr  1, 2016",4.0
M B V,My Bloody Valentine,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Pop,Dream Pop,Noise Pop,Shoegaze",87,"Feb  2, 2013",8.3
My Woman,Angel Olsen,"Pop/Rock,Alternative/Indie Rock",87,"Sep  2, 2016",8.4
Music For the Quiet Hour/The Drawbar Organ EPs,Shackleton,"Electronic,Club/Dance",87,"Dec  4, 2012",7.8
Twin Fantasy,Car Seat Headrest,"Pop/Rock,Alternative/Indie Rock",87,"Feb 16, 2018",8.5
Something More Than Free,Jason Isbell,"Country,Pop/Rock,Alternative/Indie Rock,Alternative Country-Rock,Roots Rock,Southern Rock",87,"Jul 17, 2015",8.2
Blackstar,David Bowie,"Pop/Rock,Contemporary Pop/Rock,Experimental Rock,Art Rock",87,"Jan  8, 2016",8.8
College Dropout,Kanye West,Rap,87,"Feb 10, 2004",8.9
Person Pitch,Panda Bear,"Indie,Rock",87,"Mar 20, 2007",8.7
Have You in My Wilderness,Julia Holter,"Electronic,Ambient,Avant-Garde,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Electronic,Experimental Electronic",87,"Sep 25, 2015",8.6
Fleet Foxes,Fleet Foxes,"Indie,Rock,Pop",87,"Jun  3, 2008",8.8
Leaves Turn Inside You,Unwound,"Indie,Rock",87,"Apr 17, 2001",8.8
Blue Record,Baroness,"Rock,Alternative,Metal",87,"Oct 13, 2009",8.7
Plunge,Fever Ray,"Pop/Rock,Alternative/Indie Rock",87,"Oct 27, 2017",7.5
Fetch,Moritz von Oswald Trio,"Electronic,Club/Dance",87,"Jul  3, 2012",6.3
Pacific Ocean Blue [Reissue],Dennis Wilson,"Rock,Pop",87,"Jun 17, 2008",8.8
Complicated Game,James McMurtry,"Folk,Americana,Pop/Rock,Roots Rock",87,"Feb 24, 2015",8.3
Remedy,Basement Jaxx,"Dance,Pop,Electronic",88,"Aug  3, 1999",8.6
Exit,Shugo Tokumaru,"Indie,Rock,Pop",88,"Sep  2, 2008",8.7
"For Emma, Forever Ago",Bon Iver,"Indie,Rock",88,"Feb 19, 2008",8.9
Science Fiction,Brand New,Pop/Rock,88,"Aug 19, 2017",8.4
Arular,M.I.A.,"Electronic,Rap,Dancehall",88,"Mar 22, 2005",8.3
You're Dead!,Flying Lotus,"Electronic,Experimental Electronic,Left-Field Hip-Hop",88,"Oct  7, 2014",8.5
Cadillactica,Big K.R.I.T.,"Southern Rap,Hardcore Rap",88,"Nov 10, 2014",8.8
Rooms of the House,La Dispute,"Pop/Rock,Alternative/Indie Rock,Post-Hardcore",88,"Mar 18, 2014",8.3
Fishscale,Ghostface Killah,Rap,88,"Mar 28, 2006",8.7
I Am A Bird Now,Antony and the Johnsons,"Indie,Rock",88,"Feb  1, 2005",8.3
No Devolucion,Thursday,"Emo,Pop/Rock,Alternative/Indie Rock,Post-Hardcore,Screamo",88,"Apr 12, 2011",8.6
Black Tambourine,Black Tambourine,"Indie,Rock,Pop",88,"Mar 30, 2010",7.5
Art Angels,Grimes,"Pop/Rock,Alternative/Indie Rock",88,"Dec 11, 2015",8.8
All We Love We Leave Behind,Converge,Pop/Rock,88,"Oct  9, 2012",8.8
The Graceless Age,John Murry,"Folk,Pop/Rock,Alternative/Indie Rock",88,"Apr  9, 2013",8.5
Kill The Moonlight,Spoon,"Indie,Rock",88,"Aug 20, 2002",8.9
Monoliths & Dimensions,Sunn O))),"Rock,Metal",88,"May 26, 2009",6.8
Crown and Treaty,Sweet Billy Pilgrim,Pop/Rock,88,"Apr 16, 2012",tbd
Foundations of Burden,Pallbearer,"Pop/Rock,Heavy Metal",88,"Aug 19, 2014",8.0
Lonerism,Tame Impala,"Indie Rock,Neo-Psychedelia",88,"Oct  9, 2012",8.8
In Rainbows,Radiohead,"Rock,Alternative",88,"Oct 10, 2007",9.0
The Woods,Sleater-Kinney,"Indie,Rock",88,"May 24, 2005",8.4
From Kinshasa,Mbongwana Star,International,88,"May 19, 2015",5.3
The Blueprint,Jay-Z,Rap,88,"Sep 11, 2001",8.9
From A Basement On The Hill,Elliott Smith,"Indie,Rock,Singer-Songwriter",88,"Oct 19, 2004",8.9
Vespertine,Björk,"Electronic,Alternative",88,"Aug 28, 2001",8.9
Rejoicing In The Hands,Devendra Banhart,"Indie,Rock,Singer-Songwriter",88,"May  4, 2004",8.4
Where Shall You Take Me,Damien Jurado,"Indie,Rock,Singer-Songwriter",88,"Mar 18, 2003",8.4
Destroyer's Rubies,Destroyer,"Indie,Rock",88,"Feb 21, 2006",8.0
Undun,The Roots,"Rap,Alternative Rap,Political Rap",88,"Dec  6, 2011",8.8
Black America Again,Common,"Rap,Alternative Rap,Hardcore Rap,Midwest Rap",88,"Nov  4, 2016",7.3
That's the Spirit,Bring Me the Horizon,"Pop/Rock,Heavy Metal,Death Metal,Grindcore",88,"Sep 11, 2015",6.7
"Stories from the City, Stories from the Sea",PJ Harvey,"Rock,Alternative",88,"Oct 24, 2000",8.8
Same Trailer Different Park,Kacey Musgraves,"Country,Contemporary Country,Country-Pop",88,"Mar 19, 2013",8.7
Wicked Grin,John Hammond,Blues,88,"Mar 13, 2001",7.6
Up In Flames,Manitoba,Electronic,88,"Apr  8, 2003",8.5
Persona,Rival Consoles,Electronic,88,"Apr 13, 2018",7.8
POST-,Jeff Rosenstock,Pop/Rock,88,"Mar 23, 2018",7.8
Run the Jewels 3,Run the Jewels,Rap,88,"Dec 25, 2016",8.8
"Sometimes I Sit And Think, And Sometimes I Just Sit",Courtney Barnett,"Pop/Rock,Indie Rock",88,"Mar 24, 2015",8.5
Fed,Plush,Rock,89,"Aug 25, 2008",7.4
Return To Cookie Mountain,TV on the Radio,"Indie,Rock",88,"Sep 12, 2006",8.1
"Dear Science,",TV on the Radio,Rock,88,"Sep 23, 2008",8.8
The  Order of Time,Valerie June,Pop/Rock,89,"Mar 10, 2017",7.9
Big Fish Theory,Vince Staples,Rap,89,"Jun 23, 2017",8.2
Hand.Cannot.Erase.,Steven Wilson,"Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Album Rock,Neo-Prog",89,"Mar  3, 2015",8.7
The Fade in Time,Sam Lee,Folk,89,"Mar 16, 2015",5.3
"Bachelor No. 2 (or, the last remains of the dodo)",Aimee Mann,"Rock,Pop,Alternative",89,"May  2, 2000",8.6
Black Origami,Jlin,"Electronic,Pop/Rock,Techno Bass,Juke/Footwork",89,"May 19, 2017",7.1
Miss E... So Addictive,Missy Elliott,Rap,89,"May 15, 2001",8.6
HoboSapiens,John Cale,"Rock,Alternative",89,"Sep  7, 2004",8.3
"Eternity, In Your Arms",Creeper,"Pop/Rock,Alternative/Indie Rock",89,"Mar 24, 2017",7.5
Apex Predator - Easy Meat,Napalm Death,"Pop/Rock,Heavy Metal",89,"Jan 27, 2015",7.4
Modern Times,Bob Dylan,Rock,89,"Aug 29, 2006",8.5
Neon Golden,The Notwist,"Indie,Rock,Electronic",89,"Feb 25, 2003",8.8
Since I Left You,The Avalanches,"Dance,Electronic",89,"Nov  6, 2001",8.9
Rounds,Four Tet,"Indie,Electronic",89,"May  6, 2003",8.5
Like a Rose,Ashley Monroe,Country,89,"Mar  5, 2013",7.1
The Dusk in Us,Converge,Pop/Rock,89,"Nov  3, 2017",7.7
RTJ2,Run the Jewels,"Rap,Pop/Rock,Southern Rap,Alternative Rap,Underground Rap,Hardcore Rap",89,"Oct 27, 2014",8.8
St. Vincent,St. Vincent,"Pop/Rock,Alternative/Indie Rock",89,"Feb 25, 2014",8.5
Z,My Morning Jacket,"Indie,Rock",90,"Oct  4, 2005",8.4
XTRMNTR,Primal Scream,"Rock,Alternative",90,"May  2, 2000",8.8
Untrue,Burial,"Indie,Electronic,Alternative",90,"Nov  6, 2007",7.9
Spaces,Nils Frahm,"Avant-Garde,Pop/Rock",90,"Nov 19, 2013",8.5
Jama Ko,Bassekou Kouyate & Ngoni Ba,International,90,"Apr  2, 2013",6.2
Sir Lucious Left Foot: The Son of Chico Dusty,Big Boi,"Rap,Pop/Rock",90,"Jul  6, 2010",8.8
London Zoo,The Bug,Electronic,90,"Aug 12, 2008",6.5
Funeral,Arcade Fire,"Indie,Rock",90,"Sep 14, 2004",8.9
A Grand Don't Come For Free,The Streets,"Electronic,Rap",91,"May 18, 2004",7.9
Melodrama,Lorde,Pop/Rock,91,"Jun 16, 2017",8.6
"Good Kid, M.A.A.D City",Kendrick Lamar,Rap,91,"Oct 22, 2012",9.1
"Home, Like Noplace Is There",The Hotelier,Pop/Rock,91,"Feb 25, 2014",8.4
Speakerboxxx/The Love Below,Outkast,Rap,91,"Sep 23, 2003",8.9
Elephant,The White Stripes,"Indie,Rock",92,"Apr  1, 2003",8.6
The Satanist,Behemoth,"Pop/Rock,Heavy Metal",92,"Feb  4, 2014",8.4
Channel Orange,Frank Ocean,R&B,92,"Jul 17, 2012",8.9
You Want It Darker,Leonard Cohen,Pop/Rock,92,"Oct 21, 2016",8.2
Time Will Die and Love Will Bury It,Rolo Tomassi,Pop/Rock,92,"Mar  2, 2018",6.7
"Orphans: Brawlers, Bawlers & Bastards",Tom Waits,Rock,92,"Nov 21, 2006",8.8
Boy In Da Corner,Dizzee Rascal,"Electronic,Rap",92,"Jan 20, 2004",8.9
Lemonade,Beyoncé,"Pop,R&B",92,"Apr 23, 2016",7.7
Sunbather,Deafheaven,"Pop/Rock,Alternative/Indie Rock,Post-Rock,Heavy Metal,Black Metal",92,"Jun 11, 2013",8.4
On the Impossible Past,The Menzingers,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",93,"Feb 21, 2012",8.0
Pull Up Some Dust and Sit Down,Ry Cooder,"Pop/Rock,Roots Rock",92,"Aug 29, 2011",6.9
My Dusty Road,Woody Guthrie,"Folk,Singer-Songwriter",93,"Aug 25, 2009",6.3
Love And Theft,Bob Dylan,Rock,93,"Sep 11, 2001",8.7
Live At Reading,Nirvana,"Rock,Alternative,Live",93,"Nov  3, 2009",8.8
A Crow Looked at Me,Mount Eerie,"Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter",93,"Mar 24, 2017",7.9
Savane,Ali Farka Toure,World,94,"Jul 25, 2006",8.3
Madvillainy,Madvillain,"Indie,Rap",93,"Mar 23, 2004",8.8
Stankonia,Outkast,Rap,95,"Oct 31, 2000",8.9
Black Messiah,D'Angelo,"R&B,Soul,Funk",95,"Dec 15, 2014",8.7
Skeleton Tree,Nick Cave & the Bad Seeds,"Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,Post-Punk",95,"Sep  9, 2016",8.2
Van Lear Rose,Loretta Lynn,Country,97,"Apr 27, 2004",8.5
Histoire de Melody Nelson,Serge Gainsbourg,"Rock,Pop",96,"Mar 24, 2009",8.6
To Pimp A Butterfly,Kendrick Lamar,Rap,96,"Mar 16, 2015",9.1
SMiLE,Brian Wilson,"Rock,Pop",97,"Sep 28, 2004",7.9
My Beautiful Dark Twisted Fantasy,Kanye West,"Pop,Rap,Pop/Rock,Midwest Rap,Pop-Rap",94,"Nov 22, 2010",9.0
DAMN.,Kendrick Lamar,Rap,95,"Apr 14, 2017",8.4
